42A.017,declaration.functionCode
42A.D026,declaration.consignmentReferences.lrn
42A.D013,declaration.typeCode
42A.228,declaration.items.size
42A.109,declaration.totalNumberOfItems.totalAmountInvoiced
42A.149,declaration.totalPackageQuantity
42A.504,declaration.locations.officeOfExit.circumstancesCode
42A.05A.R004,declaration.parties.representativeDetails.details.eori
42A.05A.102,declaration.parties.representativeDetails.statusCode
42A.17C.$1.R144,declaration.parties.declarationHolders.$1.eori
42A.17C.$1.R145,declaration.parties.declarationHolders.$1.authorisationTypeCode
42A.15A.T006,declaration.borderTransport.meansOfTransportCrossingTheBorderIDNumber
42A.15A.T018,declaration.borderTransport.meansOfTransportCrossingTheBorderType
42A.15A.T014,declaration.borderTransport.meansOfTransportCrossingTheBorderNationality
42A.15A.T022,declaration.borderTransport.modeCode
42A.28A.18A.R012,declaration.parties.carrierDetails.details.eori
42A.28A.18A.R011,declaration.parties.carrierDetails.details.address.fullName
42A.28A.18A.04A.241,declaration.parties.carrierDetails.details.address.townOrCity
42A.28A.18A.04A.242,declaration.parties.carrierDetails.details.address.country
42A.28A.18A.04A.239,declaration.parties.carrierDetails.details.address.addressLine
42A.28A.18A.04A.245,declaration.parties.carrierDetails.details.address.postCode
42A.28A.62A.098,declaration.borderTransport.paymentMethod
42A.28A.62A.$1.64,declaration.locations.destinationCountries.countriesOfRouting.$1
42A.40A.118,declaration.totalNumberOfItems.exchangeRate
42A.57B.R123,declaration.declarantDetails.details.eori
42A.56A.G005,declaration.locations.officeOfExit.officeId
42A.57A.R032,declaration.parties.exporterDetails.details.eori
42A.57A.R031,declaration.parties.exporterDetails.details.address.fullName
42A.57A.04A.241,declaration.parties.exporterDetails.details.address.townOrCity
42A.57A.04A.242,declaration.parties.exporterDetails.details.address.country
42A.57A.04A.239,declaration.parties.exporterDetails.details.address.addressLine
42A.57A.04A.245,declaration.parties.exporterDetails.details.address.postCode
42A.67A.103,declaration.natureOfTransaction.natureType
42A.67A.16C.R143,declaration.parties.additionalActors.actor.eori
42A.67A.16C.R005,declaration.parties.additionalActors.actor
42A.67A.27A.R014,declaration.parties.consigneeDetails.details.address.fullName
42A.67A.27A.04A.241,declaration.parties.consigneeDetails.details.address.townOrCity
42A.67A.27A.04A.242,declaration.parties.consigneeDetails.details.address.country
42A.67A.27A.04A.239,declaration.parties.consigneeDetails.details.address.addressLine
42A.67A.27A.04A.245,declaration.parties.consigneeDetails.details.address.postCode
42A.67A.28A.46A.T004,declaration.departureTransport.meansOfTransportOnDepartureIDNumber
42A.67A.28A.46A.T034,declaration.departureTransport.borderModeOfTransportCode
42A.67A.28A.46A.T020,declaration.departureTransport.meansOfTransportOnDepartureType
42A.67A.28A.64A.L016,declaration.locations.goodsLocation.nameOfLocation
42A.67A.28A.64A.L017,declaration.locations.goodsLocation.identificationOfLocation
42A.67A.28A.64A.L110,declaration.locations.goodsLocation.qualifierOfIdentification
42A.67A.28A.64A.04A.410,declaration.locations.goodsLocation.typeOfLocation
42A.67A.28A.64A.04A.241,declaration.locations.goodsLocation.city
42A.67A.28A.64A.04A.242,declaration.locations.goodsLocation.country
42A.67A.28A.64A.04A.239,declaration.locations.goodsLocation.addressLine
42A.67A.28A.64A.04A.245,declaration.locations.goodsLocation.postCode
42A.67A.28A.31B.$1.159,declaration.containers.container.$1.id
42A.67A.28A.31B.$1.44B.$2.165,declaration.containers.container.$1.seals.seal.$2.id
42A.67A.99B.465,declaration.locations.destinationCountries.countryOfDestination
42A.67A.95B.062,declaration.locations.destinationCountries.countryOfDispatch
42A.67A.68A.$1.114,declaration.items.$1.statisticalValue.statisticalValue
42A.67A.68A.$1.02A,declaration.items.$1.additionalDocument
42A.67A.68A.$1.02A.$2.D005,declaration.items.$1.additionalDocument.$2.documentIdentifier
42A.67A.68A.$1.02A.$2.D006,declaration.items.$1.additionalDocument.$2.documentTypeCode
42A.67A.68A.$1.02A.$2.276.276,declaration.items.$1.additionalDocument.$2.dateOfValidity
42A.67A.68A.$1.02A.$2.360,declaration.items.$1.additionalDocument.$2.documentStatus
42A.67A.68A.$1.02A.$2.D028,declaration.items.$1.additionalDocument.$2.documentStatusReason
42A.67A.68A.$1.02A.$2.17B.R058,declaration.items.$1.additionalDocument.$2.issuingAuthorityName
42A.67A.68A.$1.02A.$2.22C.145,declaration.items.$1.additionalDocument.$2.documentWriteOff.documentQuantity
42A.67A.68A.$1.03A.$2.226,declaration.items.$1.additionalInformation.$2.code
42A.67A.68A.$1.03A.$2.225,declaration.items.$1.additionalInformation.$2.description
42A.67A.68A.$1.23A.137,declaration.items.$1.commodityDetails.descriptionOfGoods
42A.67A.68A.$1.23A.21A.145,declaration.items.$1.cusCode.id
42A.67A.68A.$1.23A.337,declaration.items.$1.cusCode.cusCode
42A.67A.68A.$1.23A.12C.506,declaration.items.$1.dangerousGoodsCode.dangerousGoodsCode
42A.67A.68A.$1.23A.65A.126,declaration.items.$1.commodityMeasure.grossMass
42A.67A.68A.$1.23A.65A.128,declaration.items.$1.commodityMeasure.netMass
42A.67A.68A.$1.23A.65A.130,declaration.items.$1.commodityMeasure.supplementaryUnits
42A.67A.68A.$1.23A.65A.55B.$2.R119,declaration.items.$1.additionalFiscalReferences.$2.id
42A.67A.68A.$1.23A.55B.$2.R005,declaration.items.$1.additionalFiscalReferences.$2.roleCode
42A.67A.68A.$1.23A.70A.166,declaration.items.$1.procedureCodes.procedureCode.current
42A.67A.68A.$1.23A.70A.161,declaration.items.$1.procedureCodes.procedureCode.previous
42A.67A.68A.$1.23A.93A.$2.142,declaration.items.$1.packageInformation.$2.shippingMarks
42A.67A.68A.$1.23A.93A.$2.144,declaration.items.$1.packageInformation.$2.numberOfPackages
42A.67A.68A.$1.23A.93A.$2.141,declaration.items.$1.packageInformation.$2.typesOfPackages
42A.67A.99A.$1.D031,declaration.previousDocuments.$1.documentCategory
42A.67A.99A.$1.D018,declaration.previousDocuments.$1.documentReference
42A.67A.99A.$1.D019,declaration.previousDocuments.$1.documentType
42A.67A.99A.$1.171,declaration.previousDocuments.$1.goodsItemIdentifier
42A.67A.43B.L019,declaration.locations.warehouseIdentification.identificationNumber
42A.67A.43B.L112,declaration.locations.warehouseIdentification.identificationType
42A.97B.G012,declaration.locations.warehouseIdentification.supervisingCustomsOffice
42A.67A.68A.$1.35B.009,declaration.consignmentReferences.ucr
